0, 5479, 41, 1
1, 115, 41, 0
2, 109, 30, 0
3, 109, 30, 0
4, 121, 38, 1
5, 112, 30, 1
6, 112, 38, 0
7, 115, 30, 1
8, 112, 30, 1
9, 115, 38, 0
10, 126, 38, 1
11, 112, 38, 0
12, 115, 41, 0
13, 112, 27, 1
14, 112, 41, 0
15, 112, 38, 0
16, 115, 41, 0
17, 112, 27, 1
18, 115, 30, 1
19, 115, 41, 0
20, 112, 38, 0
21, 115, 41, 0
22, 112, 27, 1
23, 112, 38, 0
24, 115, 41, 0
25, 115, 41, 0
26, 112, 38, 0
27, 112, 38, 0
28, 115, 30, 1
29, 115, 41, 0
30, 126, 30, 1
31, 115, 30, 1
32, 112, 41, 0
33, 115, 38, 0
34, 112, 38, 0
35, 115, 41, 0
36, 115, 38, 0
37, 115, 27, 1
38, 115, 38, 0
39, 126, 30, 1
40, 115, 27, 1
41, 115, 41, 0
42, 112, 41, 0
43, 115, 30, 1
44, 112, 27, 1
45, 115, 27, 1
46, 115, 30, 1
47, 115, 27, 1
48, 115, 38, 0
49, 112, 38, 0
50, 112, 38, 0
51, 112, 38, 0
52, 112, 30, 1
53, 115, 30, 1
54, 126, 30, 1
55, 112, 38, 0
56, 126, 41, 1
57, 112, 38, 0
58, 112, 38, 0
59, 112, 38, 0
60, 115, 30, 1
61, 115, 41, 0
62, 115, 38, 0
63, 115, 41, 0
64, 112, 27, 1
65, 115, 27, 1
66, 115, 41, 0
67, 115, 41, 0
68, 112, 27, 1
69, 115, 30, 1
70, 112, 38, 0
71, 115, 41, 0
72, 112, 38, 0
73, 112, 38, 0
74, 115, 30, 1
75, 112, 38, 0
76, 115, 30, 1
77, 115, 41, 0
78, 112, 41, 0
79, 115, 41, 0
80, 112, 38, 0
81, 112, 27, 1
82, 112, 30, 1
83, 112, 27, 1
84, 112, 30, 1
85, 109, 30, 0
86, 112, 49, 0
87, 112, 27, 1
88, 109, 49, 0
89, 112, 49, 0
90, 112, 49, 0
91, 109, 30, 0
92, 112, 46, 0
93, 112, 27, 1
94, 112, 46, 0
95, 109, 30, 0
96, 112, 27, 1
97, 112, 46, 0
98, 109, 27, 1
99, 109, 49, 0
